id_sale|id_product|score|date|refund
1|1|5|24/07/2020|0
2|1|5|27/07/2020|0
3|2|5|24/02/2020|0
4|2|5|22/05/2020|0
5|2|5|01/01/2020|0
6|2|5|24/04/2020|0
7|2|4|31/01/2020|0
8|2|4|07/02/2020|0
9|2|4|02/03/2020|0
10|2|4|07/03/2020|0
11|2|4|24/03/2020|0
12|2|4|24/04/2020|0
13|2|4|02/05/2020|0
14|2|4|03/06/2020|0
15|2|3|10/11/2019|1
16|3|5|21/07/2020|0
17|3|4|21/07/2020|0
18|3|5|11/06/2020|0
19|3|5|11/06/2020|0
20|3|5|20/05/2020|0
21|3|5|15/05/2020|0
22|3|5|02/05/2020|0
23|3|5|30/04/2020|0
24|3|5|27/04/2020|0
25|3|4|22/04/2020|0
26|3|5|19/04/2020|0
27|3|5|16/04/2020|0
28|3|3|14/04/2020|0
29|3|5|14/04/2020|0
30|3|5|14/04/2020|0
31|3|5|13/04/2020|0
32|3|5|13/04/2020|0
33|3|5|06/04/2020|0
34|3|5|02/04/2020|0
35|3|5|01/04/2020|0
36|3|5|16/03/2020|0
37|3|5|11/03/2020|0
38|3|4|10/03/2020|0
39|3|5|02/03/2020|0
40|3|5|27/02/2020|0
41|3|4|27/02/2020|0
42|3|5|03/02/2020|0
43|3|5|31/01/2020|0
44|3|5|30/01/2020|0
45|3|5|28/01/2020|0
46|3|5|25/01/2020|0
47|3|5|19/01/2020|0
48|3|5|13/01/2020|0
49|3|5|11/01/2020|0
50|3|4|09/01/2020|0
51|3|5|08/01/2020|0
52|3|4|06/01/2020|0
53|3|5|04/01/2020|0
54|3|5|04/01/2020|0
55|3|5|03/01/2020|0
56|3|5|02/01/2020|0
57|3|5|01/01/2020|0
58|4|4|19/06/2020|0
59|4|4|04/06/2020|0
60|4|5|16/04/2020|0
61|4|4|07/04/2020|0
62|4|5|06/04/2020|0
63|4|5|06/04/2020|0
64|4|5|30/03/2020|0
65|4|4|08/03/2020|0
66|4|5|25/02/2020|0
67|4|3|29/01/2020|0
68|4|5|23/01/2020|0
69|4|4|11/01/2020|0
70|4|5|09/01/2020|0
71|5|4|03/07/2020|0
72|5|4|14/05/2020|0
73|5|4|05/05/2020|0
74|5|5|04/05/2020|0
75|5|4|04/05/2020|0
76|5|5|03/05/2020|0
77|5|5|26/04/2020|0
78|5|5|23/04/2020|0
79|5|5|17/04/2020|0
80|5|5|13/04/2020|0
81|5|5|06/04/2020|0
82|5|5|26/04/2020|0
83|5|5|24/03/2020|0
84|5|5|22/03/2020|0
85|5|4|10/03/2020|0
86|5|5|25/02/2020|0
87|5|4|24/02/2020|0
88|5|5|15/02/2020|0
89|5|5|30/01/2020|0
90|5|5|17/01/2020|0
91|6|5|05/05/2020|0
92|6|5|22/03/2020|0
93|6|5|04/02/2020|0
94|7|5|25/07/2020|0
95|7|5|17/06/2020|0
96|7|5|15/04/2020|0
97|7|5|03/04/2020|0
98|7|5|31/03/2020|0
99|7|5|28/03/2020|0
100|7|5|22/02/2020|0
101|8|5|20/04/2020|0
102|8|5|16/02/2020|0
103|8|5|27/01/2020|0
104|8|5|20/01/2020|0
105|10|4|14/05/2020|0
106|11|5|30/06/2020|0
107|11|5|02/04/2020|0
108|11|5|05/03/2020|0
109|12|5|05/05/2020|0
110|12|4|09/04/2020|0
111|12|5|09/04/2020|0
112|12|5|02/04/2020|0
113|12|5|25/03/2020|0
114|12|5|24/03/2020|0
115|12|5|06/03/2020|0
116|12|5|04/03/2020|0
117|12|4|27/02/2020|0
118|13|4|17/04/2020|0
119|17|1|05/09/2020|1
120|18|5|30/06/2020|0
121|18|4|14/03/2020|0
122|18|5|27/02/2020|0
123|18|4|02/02/2020|0
124|18|4|01/02/2020|0
125|21|5|14/04/2020|0
126|21|5|12/02/2020|0
127|22|5|20/04/2020|0
128|25|5|28/03/2020|0
129|25|5|20/03/2020|0
130|28|5|30/03/2020|0
131|29|4|04/05/2020|0
132|29|5|24/04/2020|0
133|29|4|24/04/2020|0
134|29|4|17/04/2020|0
135|29|5|04/04/2020|0
136|29|5|09/03/2020|0
137|29|5|07/03/2020|0
138|29|5|26/02/2020|0
139|29|5|09/02/2020|0
140|29|5|06/02/2020|0
141|29|5|26/01/2020|0
142|29|4|25/01/2020|0
143|29|1|13/01/2020|1
144|29|1|10/01/2020|0
145|31|1|02/05/2020|1
146|31|1|02/05/2020|1
147|31|1|01/04/2020|1
148|31|4|20/03/2020|0
149|31|3|14/03/2020|0
150|31|1|11/01/2020|0
151|33|5|20/03/2020|0
152|33|4|27/02/2020|0
153|40|5|24/05/2020|0
154|42|5|27/07/2020|0
155|42|5|04/05/2020|0
156|42|4|04/05/2020|0
157|42|4|04/05/2020|0
158|42|5|04/05/2020|0
159|42|5|27/04/2020|0
160|42|5|26/04/2020|0
161|42|4|19/04/2020|0
162|42|5|14/04/2020|0
163|42|5|09/04/2020|0
164|42|4|05/04/2020|0
165|42|4|21/03/2020|0
166|42|5|09/03/2020|0
167|42|5|09/03/2020|0
168|42|5|03/03/2020|0
169|42|4|23/02/2020|0
170|42|4|03/02/2020|0
171|42|4|09/01/2020|0
172|44|5|16/04/2020|0
173|44|5|11/04/2020|0
174|44|5|21/03/2020|0
175|44|4|02/03/2020|0
176|44|4|01/03/2020|0
177|44|5|05/01/2020|0
178|45|1|11/02/2020|1
179|46|2|07/03/2020|1
180|47|4|02/07/2020|0
181|47|5|10/06/2020|0
182|47|5|18/04/2020|0
183|47|4|16/04/2020|0
184|47|5|08/04/2020|0
185|47|4|07/04/2020|0
186|47|5|23/03/2020|0
187|47|5|10/03/2020|0
188|47|3|11/02/2020|0
189|47|5|18/01/2020|0
190|47|5|17/01/2020|0
191|48|4|02/08/2020|0
192|48|3|27/04/2020|0
193|48|5|25/04/2020|0
194|48|5|23/04/2020|0
195|48|5|22/02/2020|0
196|48|5|10/02/2020|0
197|48|5|14/01/2020|0
198|48|5|09/01/2020|0
199|48|5|09/01/2020|0
200|49|5|06/04/2020|0
201|49|5|19/04/2020|0
202|49|5|22/04/2020|0
203|50|5|04/05/2020|0
204|51|5|23/03/2020|0
205|51|4|04/02/2020|0
